This file was created by CMPT_ME_BEME_OP_INV_RETS using the 202203 CRSP database.
It contains value- and equal-weighted returns for portfolios formed on ME and BEME.

The portfolios are constructed at the end of June.  BEME is book value at the last fiscal year end of the prior calendar year
divided by ME at the end of December of the prior year. 
Annual returns are from January to December.

Missing data are indicated by -99.99 or -999.

The break points include utilities and include financials.

The  portfolios  include utilities and include financials.


  Average Value Weighted Returns -- Monthly
,SMALL LoBM,ME1 BM2,ME1 BM3,ME1 BM4,SMALL HiBM,ME2 BM1,ME2 BM2,ME2 BM3,ME2 BM4,ME2 BM5,ME3 BM1,ME3 BM2,ME3 BM3,ME3 BM4,ME3 BM5,ME4 BM1,ME4 BM2,ME4 BM3,ME4 BM4,ME4 BM5,BIG LoBM,ME5 BM2,ME5 BM3,ME5 BM4,BIG HiBM
192607,   3.6703,  -0.4119,  -2.2605,   0.3530,   1.9699,   1.0815,   2.3405,   0.3878,  -2.8710,  -0.3344,   1.7232,   2.0538,  -0.1652,   3.2112,  -1.2629,   1.1576,   1.4434,   1.1137,   0.0681,   2.4678,   3.2561,   5.8453,   1.8239,   2.6589,   0.5623
192608,  -2.2074,  -8.7275,   2.1462,   0.2932,   8.3968,   2.2349,  -1.4904,   3.4992,   0.3212,   6.1675,  -1.0034,   2.2309,   1.5500,   3.9458,   7.9540,   1.1025,   3.4062,   1.6785,   1.8358,   4.8835,   0.6436,   3.9927,   1.5269,   4.9469,   7.7576
192609,  -6.4503,  -0.6785,  -6.3059,  -2.2034,   0.8649,  -3.8060,  -2.3569,   0.7071,  -4.0694,  -0.9871,  -1.4976,  -0.3883,  -2.8700,   2.4937,  -3.6215,   0.5793,  -1.2231,  -2.3423,   0.7728,   0.8730,  -1.7721,   2.8498,  -0.3841,  -0.9353,  -3.2320
192610,  -9.0140,  -3.7532,  -6.0109,   5.7170,  -2.6101,  -2.8703,  -3.2663,  -5.2391,  -8.3521,  -1.3213,  -5.5237,  -3.0615,   0.0939,  -2.6675,  -3.1373,  -3.7558,  -2.7533,  -2.1960,  -3.2255,  -5.3525,  -2.9344,  -3.2154,  -2.4593,  -5.0249,  -5.8129
192611,   3.4744,   6.6476,   1.9364,  -5.0061,   0.1319,   2.9704,  -2.6973,   2.5601,   4.9476,   2.7292,   1.8407,   4.3869,  -0.4886,   4.4996,   3.3024,   3.2601,   1.8655,   3.7381,   4.5142,   1.3632,   3.7165,   1.7684,   0.8178,   3.1171,   2.5636
192612,  13.7649,  -2.3495,  -1.4156,   3.0180,   0.8556,   2.2070,   3.3883,   0.6146,   1.6938,   5.1512,  -3.6192,   1.4352,  -2.0296,   2.3234,   1.5349,   2.5946,   1.6445,   0.8119,   2.2307,   0.1578,   0.9271,   2.3831,   1.2318,   5.7398,   1.5427
192701,   0.3412,  -8.2999,  -4.7873,   3.2267,   2.0166,   2.8676,  -4.4009,  -0.3697,  -0.6645,  11.0570,  -0.8701,  -0.4882,  -0.6624,   1.7510,   2.1016,   1.9642,   1.3734,  -0.8553,   0.0153,   7.3063,  -0.9399,   0.0190,  -0.5443,   0.0257,   4.2141
192702,   2.4884,  -0.3049,  10.2554,   3.5791,  10.1452,   1.3644,   8.6948,   7.3294,   3.8085,   7.5867,   6.1214,   5.3795,   4.1719,   6.0360,  13.1288,   4.9745,   3.8002,   2.4261,   6.4969,  11.0488,   2.9727,   4.8088,   2.7253,   4.6268,   6.2731
192703,   6.2452,  -1.7464,  -7.9453,  -2.8979,  -3.5735,  -3.3453,  -1.2823,  -2.4788,  -1.2729,  -0.5928,  -0.3860,  -4.2980,  -1.7623,  -2.3100,  -5.9028,  -2.7119,  -0.4964,  -1.6053,  -2.1741,   3.5379,   0.0523,   1.1471,  -0.8092,   0.3706,  -4.6005
192704,   5.5030,   7.8111,   3.6524,   3.5800,   6.4218,  -2.9654,  -4.9472,  -0.5266,  -0.7699,   4.4712,  -2.7480,   0.8983,  -1.5558,   1.7274,   1.6049,  -0.5471,   1.7162,  -0.9366,  -0.1278,   5.7530,   2.4458,   0.6833,  -0.4651,  -0.6745,  -3.5345
192705,   8.0784,   9.0399,   0.7127,  16.2044,  10.0697,   7.1010,   2.3643,   5.1536,   8.7851,  13.4530,   2.9590,   6.5247,   5.6522,   6.6139,  12.5426,   4.2507,   5.7235,   3.6610,   6.8208,   7.3741,   5.3583,   4.2053,   4.8993,   5.0568,   4.7762
192706,  -5.5702,  12.1487,  -7.2641,  -2.5806,  -4.5404,   2.4939,   2.0909,   4.0182,  -1.4999,  -6.6871,  -2.0764,  -4.2502,  -1.8523,  -0.1411,   1.7373,   0.5737,  -3.9428,  -4.0405,  -3.0327,   1.6697,  -0.6054,  -3.8809,  -3.2820,  -3.9348,  -6.1540
192707,  24.4089,   9.3017,   4.6663,   2.3241,   5.4903,   5.6449,   6.7654,   3.6396,   6.9343,   4.0386,   2.3404,   5.3694,   6.0358,   2.2930,   8.6321,   6.2566,   6.6876,   6.7510,   7.1358,   1.4324,  11.1352,   5.5709,   6.3590,   8.2404,  13.4463
192708,  11.7732,   4.9954,   0.4751,  -1.0490,   1.3677,   0.9771,  -2.6517,  -1.9105,   0.1190,   5.1792,   0.1829,   1.8797,   2.7803,  -2.8760,  -5.5247,   4.6085,   3.0781,   0.7457,  -2.9484,  -6.3110,   5.1577,   0.9180,  -0.0299,   0.2683,   3.9099
192709,  -4.9477,  -6.7818,  -0.1921,  -0.3644,   0.6283,   2.1491,   7.0763,   2.6562,   0.8879,  -1.3056,   2.3786,  -0.7241,   1.4590,   1.0338,   9.2306,   3.7729,   2.5973,   3.9377,   3.7608,   9.8708,   5.8035,   3.3660,   5.0324,   3.6608,   5.5923
192710,  -9.6093,  -8.6198,  -2.2257,  -3.1249, -10.1170,   2.2849,  -1.2062,  -0.3384,  -4.4683,  -4.3916,  -0.8775,  -1.8885,   0.2900,  -4.7924, -10.2228,   0.1234,  -2.0736,  -2.7735,  -4.8551, -11.7810,  -5.2088,  -2.5865,  -4.2730,  -6.5890, -14.5457
192711,   6.8966,  11.2831,  16.2027,   9.0689,  12.1263,  14.1258,  15.1503,   8.0740,   8.4471,   8.4672,   6.1787,   8.3476,   7.8065,   6.8082,   9.5865,   7.3422,   7.9880,   7.3854,   7.4340,   8.1010,   6.0761,   6.3267,   5.4295,   6.4287,   8.0776
192712,  -3.9895,   5.6253,   3.1789,   3.9252,   6.9476,   4.0127,   2.9256,   1.8211,   2.8371,  -0.5124,   3.7445,   3.7818,   4.3016,   2.7089,  11.3299,  -0.4764,   4.8988,   3.5578,   1.0001,  -2.3196,   2.4575,   0.6160,   0.6931,   1.9354,  10.3769
192801,  -8.7630,   8.7742,   5.0289,   1.6142,   9.9855,   1.3326,   3.6593,  -0.0359,   4.7485,   2.2786,   4.6336,   2.5505,   4.0030,   1.6092,  -6.0260,   1.4805,   0.9543,   0.1028,   2.0008,   0.3207,  -1.4183,  -0.5051,  -0.7656,  -1.9538,  -5.0648
192802,   0.6463,  -4.7897,   5.5153,   3.0179,  -4.8752,  -5.7780,  -2.1350,  -2.6221,  -2.2439,  -5.6043,  -2.6691,  -2.1407,  -3.1375,  -2.7296,  -6.3744,  -5.0439,  -1.2079,  -2.8495,  -3.3138,  -8.5240,  -0.4937,  -0.9057,  -0.9836,  -2.6766,  -1.3892
192803,  40.0538,   0.3317,   1.5163,  -3.1830,   8.9589,   4.2129,  11.2200,   6.2450,   7.5186,  14.2137,   5.6522,  10.9971,   9.6582,   2.6030,  11.7466,  15.9302,   8.6585,   4.8089,   7.3156,   7.9080,  15.3141,   4.5362,   6.1442,   5.4184,  16.7279
192804, -13.2758,  14.8714,  17.1059,   2.9593,  15.5896,   0.2405,  22.9800,   3.3605,   4.2342,  10.4199,   7.7287,   4.2454,   7.2579,   4.1322,   6.7036,   5.0314,   4.8232,   2.2169,   4.4013,   3.7146,   1.2536,   6.5894,   6.4927,   2.4846,   3.3096
192805,  17.7179,  -3.6050,   4.2123,  13.8854,   5.7369,   2.0846,   3.7085,   5.5217,   5.6941,   3.2470,   2.6704,   6.6664,   0.9903,  -1.5445,  -3.4121,   5.2264,  -0.7349,   0.8383,   0.8833,   1.9741,   1.5387,   1.9044,  -0.9823,   0.6805,  -3.8808
192806, -19.2709,  -9.1056, -13.7208,  -8.8002,  -9.4805,  -6.4215,  -9.6801,  -9.0150,  -7.9087,  -6.2034,  -6.9980,  -5.3940,  -7.6376,  -7.7597,  -7.0283,  -7.5123,  -6.0147,  -4.0365,  -6.1695,  -5.8891,  -3.5540,  -4.2790,  -4.0356,  -5.3541,  -9.1120
