"year;Mkt-RF;SMB;HML;RF;SMALL LoBM;ME1 BM2;SMALL HiBM;BIG LoBM;ME2 BM2;BIG HiBM"
"1927;29,47;-2,83;-3,4;3,12;31,2332;26,2518;35,3328;44,5081;23,1921;33,614"
"1928;35,39;4,51;-6,17;3,56;41,5483;41,2345;41,4062;45,8798;31,1115;33,6797"
"1929;-19,54;-30,69;11,65;4,75;-44,829;-32,6935;-37,2039;-19,2169;0,0986;-3,5432"
"1930;-31,23;-5,34;-11,76;2,41;-38,1315;-30,9889;-44,6675;-25,9301;-28,9291;-42,9076"
"1931;-45,11;3,64;-14,56;1,07;-43,5408;-45,6881;-52,6419;-36,1171;-60,5239;-56,1367"
"1932;-9,39;4,56;10,83;0,96;-10,9006;-12,262;8,6566;-6,6748;-16,9474;-4,5628"
"1933;57,05;45,46;32,39;0,3;142,6992;114,6986;131,8904;44,0557;89,2066;119,6495"
"1934;3,02;25,6;-27,96;0,16;39,1224;16,1656;9,847;8,5581;-2,1221;-18,0945"
"1935;44,96;10,91;8,74;0,17;42,7129;77,3293;53,8694;43,6961;47,4643;50,0138"
"1936;32,07;17,97;34,83;0,18;33,5591;48,0877;83,0992;26,4661;37,7682;46,593"
"1937;-34,96;-14,14;-4,09;0,31;-49,3701;-49,2364;-50,5656;-34,4452;-30,8635;-41,4324"
"1938;28,48;9,29;-12,05;-0,02;43,9643;42,0919;25,2283;33,8966;20,9953;28,5229"
"1939;2,7;5,77;-18,98;0,02;11,5182;4,1575;-6,7689;7,7666;-4,2491;-11,9118"
"1940;-7,14;1,18;-1,6;0;-3,2106;-2,3479;-10,205;-10,1301;-2,8439;-6,3367"
"1941;-10,53;-4,04;11,13;0,06;-15,3042;-14,9441;-3,2135;-13,9774;-3,5507;-3,8142"
"1942;16,2;5,09;19,96;0,27;17,0727;25,7789;36,987;14,2159;16,1351;34,2311"
"1943;27,96;33,29;38,47;0,35;43,2221;52,6441;99,8382;20,7777;33,936;41,1088"
"1944;20,97;17,53;16,46;0,33;39,7169;42,5689;48,153;15,6419;22,0804;40,1186"
"1945;38,38;25,14;10,88;0,33;64,3711;63,8152;68,1716;32,3568;38,249;50,3229"
"1946;-6,73;-3,99;3,11;0,35;-12,2414;-9,2894;-8,3218;-9,5112;-1,1473;-7,2129"
"1947;2,95;-6,99;9,87;0,5;-8,1157;-2,7157;6,2059;3,3242;4,2973;8,7327"
"1948;1,07;-9,11;3,74;0,81;-8,3008;-7,1565;-2,3083;3,2593;1,5611;4,7499"
"1949;19,12;3,75;-4,24;1,1;24,3936;22,765;21,342;23,3911;15,8916;17,954"
"1950;28,82;1,13;27,04;1,2;30,9598;31,9023;51,5634;23,3397;30,8855;56,8171"
"1951;19,22;-5,22;-5,67;1,49;17,4708;14,8202;11,8407;20,3901;24,7318;14,6821"
"1952;11,8;-6,76;3,31;1,66;7,8437;9,6937;8,2404;13,2187;13,3876;19,4394"
"1953;-1,05;-1,16;-7,73;1,82;0,045;-1,0627;-6,5315;2,4071;0,0151;-6,4795"
"1954;49,35;-2,06;26,04;0,86;42,3618;60,6261;64,5859;47,5357;48,8413;77,3894"
"1955;23,75;-5,91;4,9;1,57;15,2092;20,5173;24,3467;28,71;19,7092;29,3794"
"1956;5,9;-0,9;-1,84;2,46;6,5464;7,2689;6,7841;7,1388;12,9248;3,2221"
"1957;-13,16;-2,7;-6,18;3,14;-17,4432;-14,7274;-15,9736;-8,7264;-8,7836;-22,5488"
"1958;43,45;14,51;13,48;1,54;76,1226;57,0877;70,7773;41,3583;45,4347;73,6676"
"1959;9,76;5,46;1,78;2,95;19,9216;20,0881;18,1466;13,0111;10,4303;18,337"
"1960;-1,46;-2,72;-4,55;2,66;-2,2692;-1,3972;-5,72;-2,5866;9,5938;-8,2297"
"1961;24,81;1,51;5,14;2,13;24,5473;30,2544;32,0348;26,2778;26,9664;29,0749"
"1962;-12,9;-8,34;9,02;2,73;-19,7073;-16,198;-9,1154;-10,8377;-5,7787;-3,3804"
"1963;17,84;-6,06;15,45;3,12;8,1061;16,9869;28,4195;21,9021;17,3098;32,4828"
"1964;12,54;-0,76;9,65;3,54;8,51;18,7203;23,6027;14,4076;20,0804;18,614"
"1965;10,52;22,05;6,95;3,93;35,2113;33,7245;41,8308;14,656;8,0351;21,9339"
"1966;-13,51;2,93;-1,14;4,76;-5,0961;-5,9481;-7,248;-10,7344;-5,4839;-10,854"
"1967;24,49;49,63;-7,3;4,21;86,9261;72,5403;67,5907;29,0613;15,2915;33,8009"
"1968;8,79;24,17;18,49;5,21;32,4366;40,3192;46,4451;3,8321;16,0585;26,8073"
"1969;-17,54;-14,12;-9,95;6,58;-24,4707;-23,7951;-24,9787;2,7475;-16,9947;-16,647"
"1970;-6,49;-11,76;21,54;6,52;-20,2976;-9,0177;6,9445;-5,545;8,1578;10,2894"
"1971;11,78;5,98;-11,26;4,39;26,9071;21,1365;14,3624;24,2457;5,967;14,2635"
"1972;13,05;-12,26;1,76;3,84;-0,3251;7,1527;6,9097;21,525;11,1871;17,8121"
"1973;-26,18;-23,45;17,47;6,93;-44,5979;-33,0453;-27,4321;-21,7735;-8,9417;-4,0048"
"1974;-35,75;-0,72;9,87;8;-32,5082;-26,1833;-18,846;-29,2894;-22,8602;-23,217"
"1975;32,44;15,43;9,25;5,8;61,7332;57,6045;58,9418;34,4187;41,8486;55,7171"
"1976;21,91;14,58;24,28;5,08;38,4675;46,9814;60,4201;17,4003;40,7215;44,0153"
"1977;-8,26;22,6;7,5;5,12;18,5274;17,8015;22,4609;-9,6053;-0,8819;1,4666"
"1978;1,03;14,39;0,59;7,18;17,8222;20,8384;22,2451;7,0277;6,9191;3,78"
"1979;13,09;21,23;-2,48;10,38;49,6195;37,7332;38,7949;16,6887;23,2051;22,5574"
"1980;22,13;5,7;-24,63;11,24;53,0697;30,4499;22,2895;34,9834;37,1998;16,5117"
"1981;-18,13;7,13;25,12;14,71;-10,7665;13,5934;17,7708;-7,5453;-7,4022;14,16"
"1982;10,66;8,7;13,36;10,54;19,2086;33,4336;40,7487;22,2746;17,5711;27,4539"
"1983;13,75;14,03;20,49;8,8;20,0049;40,4779;48,31;14,5262;24,983;27,2018"
"1984;-6,05;-8,2;19,07;9,85;-13,4823;2,3171;7,8532;-0,7074;5,8994;16,097"
"1985;24,91;0,58;1,37;7,72;29,5215;35,5695;33,3226;32,7213;32,2946;31,6675"
"1986;10,12;-9,56;9,33;6,16;2,7251;10,0037;14,7464;14,7723;19,974;21,4075"
"1987;-3,87;-10,85;-1,62;5,47;-13,0487;-4,3069;-6,6106;7,5346;3,1778;-2,1348"
"1988;11,55;5,76;14,37;6,35;14,9384;28,5551;30,478;12,8272;17,8392;26,0265"
"1989;20,49;-12,9;-4,12;8,37;18,6242;17,5976;16,7919;36,3241;25,4804;29,9069"
"1990;-13,95;-14,02;-10,04;7,81;-18,5592;-17,6891;-24,1977;0,7942;-5,5325;-13,6552"
"1991;29,18;16,15;-14,72;5,6;54,4518;46,169;40,7218;43,181;22,2448;27,4706"
"1992;6,23;7,66;24,49;3,51;4,7021;22,4179;35,795;6,2055;9,6322;24,0852"
"1993;8,21;6,38;16,86;2,9;10,0895;21,4428;25,7033;1,1992;17,5892;19,3119"
"1994;-4,1;-0,3;-0,77;3,9;-7,0867;0,1107;1,5576;1,4407;2,7658;-8,7387"
"1995;31,22;-9,75;6,05;5,6;30,755;26,0148;33,6082;36,8645;36,649;46,116"
"1996;15,96;-4,42;8,71;5,21;9,1809;20,5876;25,1975;21,6117;23,5943;23,0083"
"1997;25,96;-7,64;19,1;5,26;7,9638;30,3195;40,3795;31,8384;32,104;37,6296"
"1998;19,46;-25,28;-10,32;4,86;-2,7772;-3,4115;-3,5185;38,6225;8,7885;18,7199"
"1999;20,57;15,59;-31,96;4,68;46,5682;25,8082;8,8231;27,4636;5,6964;1,2811"
"2000;-17,6;-4,58;45,02;5,89;-23,2425;15,6009;24,4579;-12,8971;14,0081;29,4365"
"2001;-15,21;18,24;18,5;3,83;-0,3917;15,9069;23,1333;-14,6098;-0,3276;-1,1441"
"2002;-22,76;4,45;8,09;1,65;-32,4333;-12,5831;-8,9099;-23,1679;-13,6064;-30,5071"
"2003;30,75;26,51;5,11;1,02;54,6444;48,4487;64,9622;27,2033;34,2079;27,1012"
"2004;10,72;4,43;7,67;1,2;15,662;21,1248;18,8055;8,2534;13,5994;20,4546"
"2005;3,09;-2,36;9,43;2,98;0,1754;8,4661;9,4648;4,543;6,531;14,1105"
"2006;10,6;0,08;11,75;4,8;8,9565;21,6998;21,8642;11,3336;19,0071;21,9327"
"2007;1,04;-7,4;-17,28;4,66;5,9792;-1,6466;-13,7576;12,8238;1,9641;-2,0027"
"2008;-38,34;2,45;0,83;1,6;-40,586;-31,2921;-33,9622;-34,0809;-40,0863;-39,036"
"2009;28,26;9,35;-9,42;0,1;36,7428;33,4494;30,9084;30,5936;24,8554;17,5948"
"2010;17,37;14,29;-5,1;0,12;28,9142;30,068;26,9969;15,2672;20,8702;6,9751"
